Date,priceUSD,transactions,size,sentbyaddress,difficulty,hashrate,mining_profitability,sentinusdUSD,transactionfeesUSD,median_transaction_feeUSD,confirmationtime,transactionvalueUSD,mediantransactionvalueUSD,activeaddresses,top100cap,fee_to_rewardUSD,Open,High,Low,Close,Adj Close,Volume
15-08-2016,569.003,202750,809687,276740,2.03484E+11,1.64E+18,0.655,853818491,0.192,0.103,9.863,5824,212.707,461779,18.754,3.612,570.494019,573.580017,563.23999,567.23999,567.23999,57262300
16-08-2016,571.996,254296,919992,336091,2.17375E+11,1.47E+18,0.691,1048494190,0.187,0.112,10.667,6221,200.447,493590,18.751,4.695,567.242981,581.737976,566.716003,577.439026,577.439026,58405200
17-08-2016,574.509,237880,949718,322568,2.17375E+11,1.38E+18,0.672,807356243,0.178,0.104,11.707,4826,177.838,466782,18.726,4.578,577.760986,580.893982,571.429993,573.216003,573.216003,54443000
18-08-2016,573.871,239387,798776,320596,2.17375E+11,1.52E+18,0.757,972277893,0.183,0.104,9.351,5576,189.454,429466,18.708,3.823,573.70697,577.791992,573.429993,574.317993,574.317993,59896600
19-08-2016,574.592,245941,790719,318964,2.17375E+11,1.61E+18,0.715,856252373,0.189,0.115,9.351,5549,214.331,425432,18.692,4.031,574.338989,578.237976,574.182007,575.630005,575.630005,50631600
20-08-2016,577.708,208069,713966,287944,2.17375E+11,1.72E+18,0.673,911496553,0.17,0.107,9.29,5856,159.995,453235,18.546,3.065,576.083984,582.817993,575.45697,581.697021,581.697021,45301400
21-08-2016,580.948,184741,614827,262973,2.17375E+11,1.72E+18,0.705,556537103,0.159,0.0966,8.834,4204,143.726,385756,18.526,2.428,581.939026,584.15802,580.218018,581.307983,581.307983,38299400
22-08-2016,582.629,228215,784796,311918,2.17375E+11,1.74E+18,0.683,947533423,0.168,0.099,9.114,5062,174.672,459903,18.531,3.225,581.310974,588.447998,580.593994,586.752991,586.752991,72844000
23-08-2016,584.169,238874,828889,315492,2.17375E+11,1.68E+18,0.663,1010822720,0.165,0.106,9.796,5109,167.68,452155,18.516,3.553,586.770996,589.473999,581.633972,583.414978,583.414978,85349200
24-08-2016,580.74,234978,756206,311175,2.17375E+11,1.58E+18,0.722,1043118540,0.16,0.105,9.474,5262,156.385,466246,18.616,3.291,583.411987,583.590027,579.85498,580.182007,580.182007,56328200
25-08-2016,575.66,233879,867973,305390,2.17375E+11,1.59E+18,0.613,990564004,0.159,0.107,11.077,5246,186.958,401522,18.614,3.826,580.179993,580.450989,575.166992,577.760986,577.760986,136130000
26-08-2016,578.283,226635,844329,303177,2.17375E+11,1.41E+18,0.702,989798943,0.159,0.105,10.909,5336,183.798,414477,18.618,3.649,577.752991,580.622986,576.857971,579.651001,579.651001,48856800
27-08-2016,574.184,190954,686820,270425,2.17375E+11,1.43E+18,0.743,676892144,0.167,0.0908,10,4398,129.249,410703,18.617,2.992,579.452026,579.844971,568.630005,569.947021,569.947021,59698300
28-08-2016,572.17,174337,608445,247605,2.17375E+11,1.65E+18,0.675,567836438,0.161,0.0894,9.474,4268,130.672,354909,18.602,2.512,569.830017,574.038025,569.73999,573.911987,573.911987,86301600
29-08-2016,574.891,225133,808839,296549,2.18442E+11,1.76E+18,0.629,744219660,0.164,0.101,9.664,4373,182.76,449032,18.614,3.343,574.070984,576.278015,573.465027,574.106995,574.106995,110398000
